e_id,position,salary,start_date,end_date,perf_score,status
10580306,Archives and Library Partnerships Associate,95000,2024-04-01,2024-06-09,,PROBATION
10580306,Archives and Library Partnerships Associate,95000,2024-06-10,2024-06-10,,LAID_OFF
10945904,Frontend Engineer,145000,2023-10-09,2024-01-06,,PROBATION
10945904,Frontend Engineer,150000,2024-01-07,2024-05-19,80,ACTIVE
10945904,Frontend Engineer,150000,2024-05-20,2024-06-07,,RESIGNED
11194139,Client Services Manager,115000,2023-12-15,2024-03-13,,PROBATION
11194139,Client Services Manager,120000,2024-03-14,2024-06-23,85,ACTIVE
11194139,Client Services Manager,120000,2024-03-25,2024-03-29,,PTO
11194139,Client Services Manager,120000,2024-06-17,2024-06-21,,SICK_LEAVE
11194139,Client Services Manager,114000,2024-06-24,2024-08-24,,ACTIVE
11194139,Client Services Manager,120000,2024-08-25,2024-12-14,,ACTIVE
11194139,Director of Client Services,125000,2024-12-15,,88,ACTIVE
11220767,Family Office Relationship Manager,158000,2025-01-06,2025-04-05,,PROBATION
11220767,Family Office Relationship Manager,158000,2025-03-03,2025-03-07,,SICK_LEAVE
11220767,Family Office Relationship Manager,165000,2025-04-06,,88,ACTIVE
11614912,Business Systems Analyst,138000,2024-02-20,2024-05-19,,PROBATION
11614912,Business Systems Analyst,138000,2024-05-20,2025-02-19,82,ACTIVE
11614912,Business Systems Analyst,138000,2024-10-14,2024-10-18,,SICK_LEAVE
11614912,Business Systems Analyst,138000,2025-02-20,,75,ACTIVE
12370563,Insurance Coordinator,118000,2025-03-03,,,PROBATION
12742361,Auction House Account Manager,142000,2024-12-02,2025-03-01,,PROBATION
12742361,Auction House Account Manager,148000,2025-03-02,,87,ACTIVE
14338498,Chief Technology Officer,235000,2024-09-09,2024-12-07,,ACTIVE
14338498,Chief Technology Officer,245000,2024-12-08,,88,ACTIVE
16224175,Senior Data Engineer,178000,2024-09-24,2024-12-22,,PROBATION
16224175,Senior Data Engineer,185000,2024-12-23,,87,ACTIVE
16498618,Transactions Counsel,185000,2024-04-26,2024-07-24,,PROBATION
16498618,Transactions Counsel,185000,2024-07-25,2025-04-25,83,ACTIVE
16498618,Transactions Counsel,185000,2025-04-26,,83,ACTIVE
16660212,Institutional Accounts Manager,155000,2024-04-12,2024-07-10,,PROBATION
16660212,Institutional Accounts Manager,155000,2024-07-11,2024-09-01,86,ACTIVE
16660212,Family Office Relations Manager,160000,2024-09-02,2025-04-11,,ACTIVE
16660212,Family Office Relations Manager,170000,2025-04-12,,91,ACTIVE
21097316,People Operations Manager,130000,2024-01-22,2024-04-20,,PROBATION
21097316,People Operations Manager,130000,2024-03-11,2024-04-05,,PARENTAL_LEAVE
21097316,People Operations Manager,135000,2024-04-21,2024-06-23,83,ACTIVE
21097316,People Operations Manager,128250,2024-06-24,2024-08-24,,ACTIVE
21097316,People Operations Manager,135000,2024-08-25,2025-01-21,,ACTIVE
21097316,People Operations Manager,135000,2025-01-22,,78,ACTIVE
22479789,VIP Client Liaison,105000,2025-04-07,,,PROBATION
22619675,Database Engineer,160000,2023-11-29,2024-02-26,,PROBATION
22619675,Database Engineer,165000,2024-02-27,2024-11-28,89,ACTIVE
22619675,Senior Database Engineer,175000,2024-11-29,,91,ACTIVE
23062301,Founder and Chief Executive Officer,150000,2023-06-23,2023-11-18,,ACTIVE
23062301,Founder and Chief Executive Officer,180000,2023-11-19,2024-06-23,,ACTIVE
23062301,Founder and Chief Executive Officer,153000,2024-06-24,2024-08-24,,ACTIVE
23062301,Founder and Chief Executive Officer,225000,2024-08-25,2024-12-31,,ACTIVE
23062301,Founder and Chief Executive Officer,250000,2025-01-01,,,ACTIVE
23062302,Founder and Chief Technology Officer,145000,2023-06-23,2023-11-18,,ACTIVE
23062302,Founder and Chief Technology Officer,170000,2023-11-19,2024-06-23,,ACTIVE
23062302,Founder and Chief Technology Officer,144500,2024-06-24,2024-08-24,,ACTIVE
23062302,Founder and Principal Systems Architect,150000,2024-08-25,2025-02-28,,ACTIVE
23062302,Founder and Principal Systems Architect,195000,2025-03-01,,,ACTIVE
23070303,Customer Support and Community Associate,78000,2023-07-03,2023-09-30,,PROBATION
23070303,Customer Support and Community Associate,78000,2023-09-18,2023-09-20,,PTO
23070303,Customer Support and Community Associate,82000,2023-10-01,2023-11-18,94,ACTIVE
23070303,Community Operations Manager,110000,2023-11-19,2024-01-31,,ACTIVE
23070303,Chief of Staff and Director of Corporate Affairs,165000,2024-02-01,2024-06-23,,ACTIVE
23070303,Chief of Staff and Director of Corporate Affairs,140250,2024-06-24,2024-08-24,,ACTIVE
23070303,Chief Strategy and Corporate Affairs Officer,200000,2024-08-25,2024-12-31,96,ACTIVE
23070303,Chief Strategy and Corporate Affairs Officer,220000,2025-01-01,,,ACTIVE
23121126,Finance Operations Manager,135000,2023-12-11,2024-03-09,,PROBATION
23121126,Senior Finance Operations Manager,150000,2024-03-10,2024-06-23,87,ACTIVE
23121126,Acting CFO and Head of Finance Operations,166500,2024-06-24,2024-08-24,,ACTIVE
23121126,Acting CFO and Head of Finance Operations,185000,2024-08-25,2024-12-10,,ACTIVE
23121126,Acting CFO and Head of Finance Operations,205000,2024-12-11,,93,ACTIVE
24090361,Chief Data and Systems Transformation Officer,215000,2024-09-03,2024-12-01,,ACTIVE
24090361,Chief Data and Systems Transformation Officer,215000,2024-12-02,,96,ACTIVE
24090361,Chief Data and Systems Transformation Officer,215000,2025-01-27,2025-01-31,,PTO
24090361,Chief Data and Systems Transformation Officer,215000,2025-04-14,,,SABBATICAL
24965541,Accounts Payable Specialist,90000,2024-05-06,2024-08-03,,PROBATION
24965541,Accounts Payable Specialist,90000,2024-08-04,2024-09-01,76,ACTIVE
24965541,Accounts Payable Specialist,92000,2024-09-02,,,ACTIVE
26887263,Infrastructure and Security Manager,175000,2023-10-30,2023-11-18,,PROBATION
26887263,Infrastructure and Security Manager,180000,2023-11-19,2024-01-27,,PROBATION
26887263,Infrastructure and Security Manager,184000,2024-01-28,2024-06-23,91,ACTIVE
26887263,Infrastructure and Security Manager,165600,2024-06-24,2024-08-24,,ACTIVE
26887263,Infrastructure and Security Manager,184000,2024-08-25,2024-10-29,,ACTIVE
26887263,Infrastructure and Security Manager,190000,2024-10-30,,90,ACTIVE
26887263,Infrastructure and Security Manager,190000,2024-12-09,2024-12-13,,SICK_LEAVE
29956962,QA Automation Engineer,140000,2024-11-04,2025-02-01,,PROBATION
29956962,QA Automation Engineer,145000,2025-02-02,,84,ACTIVE
31215320,Corporate Counsel,170000,2024-04-30,2024-07-28,,PROBATION
31215320,Corporate Counsel,170000,2024-07-29,2025-04-29,78,ACTIVE
31215320,Corporate Counsel,170000,2025-04-30,,78,ACTIVE
31626649,Senior Backend Engineer,180000,2024-10-21,2025-01-18,,PROBATION
31626649,Senior Backend Engineer,190000,2025-01-19,,92,ACTIVE
31739933,Recruiter and HR Generalist,100000,2024-01-29,2024-04-27,,PROBATION
31739933,Recruiter and HR Generalist,102000,2024-04-28,2024-06-09,78,ACTIVE
31739933,Recruiter and HR Generalist,102000,2024-06-10,2024-06-10,,LAID_OFF
32845340,Communications Lead,135000,2024-01-17,2024-04-15,,PROBATION
32845340,Communications Lead,140000,2024-04-16,2024-06-23,88,ACTIVE
32845340,Communications Lead,133000,2024-06-24,2024-08-24,,ACTIVE
32845340,Communications Lead,140000,2024-08-25,2024-09-01,,ACTIVE
32845340,Communications Manager,140000,2024-09-02,2025-01-16,,ACTIVE
32845340,Director of Communications,145000,2025-01-17,,87,ACTIVE
33087235,Communications Specialist,105000,2024-01-05,2024-04-03,,PROBATION
33087235,Communications Specialist,105000,2024-04-04,2024-09-01,80,ACTIVE
33087235,Communications Specialist,105000,2024-05-20,2024-05-24,,PTO
33087235,Public Relations Specialist,105000,2024-09-02,2025-01-04,,ACTIVE
33087235,Public Relations Specialist,105000,2025-01-05,,76,ACTIVE
33098996,Office Administrator,68000,2023-11-10,2024-02-07,,PROBATION
33098996,Office Administrator,68000,2023-12-27,2023-12-29,,PTO
33098996,Office Administrator,68000,2024-02-08,2024-09-01,73,ACTIVE
33098996,Office Administrator,70000,2024-09-02,2024-11-09,,ACTIVE
33098996,Office Administrator,70000,2024-11-10,,73,ACTIVE
34845334,Corporate Secretary,150000,2023-08-30,2023-11-27,,PROBATION
34845334,Corporate Secretary,150000,2023-11-06,2023-11-10,,SICK_LEAVE
