e_id,position,salary,start_date,end_date,perf_score,status
41378877,director of pr,220898,4/12/2023,4/11/2024,95,active
41378877,director of pr,236361,4/11/2024,4/11/2025,90,active
41378877,director of pr,236361,4/11/2025,,92,active
41378877,,236361,7/11/2024,7/19/2024,97,sick leave
41376655,,,3/26/2020,4/6/2020,,paid leave
41376655,transportation manager,105000,4/12/2021,4/12/2022,31,active
41376655,transportation supervisor,105000,4/12/2022,4/12/2023,94,active
41376655,,,4/25/2022,4/29/2022,,sick leave
41376655,transportation supervisor,105000,4/12/2023,,75,active
41376655,,,1/16/2024,3/28/2024,,FMLA
41376655,senior network engineer,180000,1/18/2023,1/18/2024,80,active
41651199,CIO,180000,1/18/2024,1/17/2025,85,active
41651199,,,5/13/2024,5/22/2024,,paid leave
41651199,,,7/22/2024,7/25/2024,,sick leave
41651199,CIO,180000,1/17/2025,,25,active
41655533,process coordinator,170000,1/18/2023,1/18/2024,70,active
41655533,process improvement analyst,180000,1/18/2024,1/17/2025,75,active
41655533,process improvement analyst,185000,1/17/2025,1/17/2026,80,active
42223311,hr analytics,200000,8/5/2023,8/4/2024,83,active
42223311,hr analytics,200000,8/4/2024,8/4/2025,82,active
42223311,hr analytics,200000,8/4/2025,,85,active
42223311,,,4/10/2026,4/27/2026,83,paid leave
