d_id,d_name,manager_id,budget,nr_employees
1000,Information Technology,41651199,7400200.00,30
1100,Platform Development,42359977,,15
1110,Front End,44317755,,12
1120,Back End,41376655,,7
1200,Security,42191122,,7
1300,Tech Support,45202200,,10
2000,Public Relations,41378877,958200.00,5
3000,Finance & Legal,41993210,2563000,8
3100,Legal & Compliance,43627788,,4
3200,Accounting,42351012,,4
4000,Human Resources,42223311,981450,4
5000,Operations,41655533,3308400,12
5100,Logistics,43257678,,7
5200,Customer Service,42286789,,3
5300,Quality Assurance,42225432,,4
