exp_id;amount;d_id;description;date;requested_by;approved_by
500006;155.00;6200;office stuff;2023-01-23;NULL;NULL
500002;15.00;2120;hosting;2023-01-24;NULL;NULL
500004;30.00;6200;office stuff;2023-01-25;NULL;NULL
500003;30.00;2120;software;2023-01-26;NULL;NULL
500007;40.00;2120;hosting;2023-01-26;NULL;NULL
500005;30.00;2120;software;2023-01-30;NULL;NULL
500008;93.56;2120;hosting;2023-01-31;NULL;NULL
500001;121.39;2120;hosting;2023-02-01;NULL;NULL
500011;30.00;7200;flyers;2023-02-10;NULL;NULL
500016;40.00;7200;flyers;2023-02-10;NULL;NULL
500019;15.00;2120;software;2023-02-10;NULL;NULL
500014;110.00;2120;hosting;2023-02-12;NULL;NULL
500009;155.00;2120;adapter for demo laptop;2023-02-13;NULL;NULL
500010;40.00;2120;software;2023-02-13;NULL;NULL
500022;85.00;6200;office stuff;2023-02-13;NULL;NULL
500013;10.00;2120;software;2023-02-16;NULL;NULL
500021;20.00;2120;software;2023-02-16;NULL;NULL
500017;68.76;6200;office stuff;2023-02-17;NULL;NULL
500012;310.00;2120;hosting;2023-02-21;NULL;NULL
500018;143.69;2120;adapter for demo laptop;2023-02-24;NULL;NULL
500024;106.31;2120;hosting;2023-02-28;NULL;NULL
500015;367.10;2120;hosting;2023-03-01;NULL;NULL
500023;43.66;2120;software;2023-03-01;NULL;NULL
500020;80.00;7200;flyers;2023-03-02;NULL;NULL
500030;270.00;7200;ads;2023-03-04;NULL;NULL
500039;40.00;2120;hosting;2023-03-08;NULL;NULL
500032;475.00;7200;ads;2023-03-09;NULL;NULL
500033;40.00;7200;poster print;2023-03-09;NULL;NULL
500036;60.00;2120;hosting;2023-03-09;NULL;NULL
500037;505.00;7200;ads;2023-03-10;NULL;NULL
500034;70.00;7200;poster print;2023-03-11;NULL;NULL
500038;313.30;2120;hosting;2023-03-16;NULL;NULL
500028;240.00;3100;train - museum meeting;2023-03-19;NULL;NULL
500031;55.00;7200;startup night flyers;2023-03-22;NULL;NULL
500026;220.00;7200;poster print;2023-03-23;NULL;NULL
500025;200.00;7200;demo materials;2023-03-27;NULL;NULL
500029;480.00;7200;ads;2023-03-28;NULL;NULL
500027;250.00;7200;poster print;2023-03-29;NULL;NULL
500035;35.00;7200;demo materials;2023-04-10;NULL;NULL
500050;315.00;4200;boxes for Northbridge;2023-04-11;NULL;NULL
500063;2605.00;4200;insurance quote consultation;2023-04-11;NULL;NULL
500041;115.00;4110;photographer for museum objects;2023-04-12;NULL;NULL
500066;217.41;4110;photographer for museum objects;2023-04-12;NULL;NULL
500055;80.00;3100;museum outreach travel;2023-04-17;NULL;NULL
500040;120.00;3100;museum outreach travel;2023-04-18;NULL;NULL
500058;605.00;4120;Northbridge condition assessment;2023-04-18;NULL;NULL
500059;546.44;4200;boxes for Northbridge;2023-04-18;NULL;NULL
500061;305.00;4200;insurance quote consultation;2023-04-18;NULL;NULL
500062;1830.00;5100;lawyer - partnership agreement;2023-04-18;NULL;NULL
500067;2835.00;5100;lawyer call;2023-04-18;NULL;NULL
