p_id,name,category,owned_by,est_value,status
151879,Chippendale Mahogany Chair Set,Antique Furniture,XxMrMelonxX,90000,listed
501342, Lincoln Head Copper Penny,Collectible Coins,XxMrMelonxX,255000,listed
110345,"Herm�s Birkin Bag (Crocodile, 35cm)",Designer Fashion,vanilla_coke,33000,listed
214320,Gucci Jackie Bag (Vintage),Designer Fashion,Jim_Business,16000,withdrawn
732499,Frida Kahlo Self-Portrait Sketch,Fine Art,lizardman,85000,in_escrow
986603,Princess Diana's Revenge Dress (Replica),Haute Couture,7e1543c0-0b3d-45f7-8557-9dca6efe25fc,165155,sold
535322,Dior Gala Vintage Dress,Haute Couture,7a3520ed-ccf4-4ef6-b184-f2be8831e0ad,19645,sold
938790,Ancient Roman Gladius Sword,Historical Artifacts,11ce6126-9b47-40a8-81a9-a9fd49caf3f7,286539,sold
878470,McLaren P1 GTR,Luxury Vehicles,b01afa48-40e5-4fc1-b1b4-4d013ad0de04,5398574,sold
823173,Aston Martin DB5 from James Bond Films,Luxury Vehicles,38fc8ee7-7126-459a-a21a-0bd283e80529,4638572,sold
182438,Steinway & Sons Concert Grand Piano,Musical Instruments,bcd40f55-1c09-4c5d-98f2-768fae06d08c,249483,sold
145104,Original Marilyn Monroe Film Costume,Other,XxMrMelonxX,166025,sold
132849,Meteorite Fragment (Martian),Other,XxMrMelonxX,182441,sold
486668,Frida Kahlo's Paint-Stained Easel,Other,vanilla_coke,630777,sold
565145,Original Dune Manuscript by Frank Herbert,Rare Books & Manuscripts,Jim_Business,1219390,sold
939534,Dom Pérignon 1921,Vintage Wine & Spirits,lizardman,76108,sold
101751,O'Keeffe Desert Flower Painting,Fine Art,1de8463a-aaab-4442-8b3d-a195ed10dc8b,841869,sold
106915,Hockney Swimming Pool Painting,Fine Art,92fe1b42-96fd-4b95-b2c0-5657964f78b8,5380397,sold
110645,Steve Jobs' Mercedes SL55 AMG,Luxury Vehicles,e5c65e13-3f89-4f82-bf39-a8560e52f115,519253,sold
117100,Tesla's Original Circuit Diagram,Historical Artifacts,f9ea818b-60cd-4691-bf76-8314f903f816,757338,sold
120879,Spirit of St. Louis Propeller Blade,Other,50b4bc47-1a57-4f22-8890-57e3c9b92905,796137,sold
124947,Dickens' Original Christmas Carol,Rare Books & Manuscripts,d43550b5-6899-4b19-a672-2604ea4c7e54,1289393,sold
127119,Columbus' Ship Log Page,Other,bf796172-5192-4ccd-aeeb-f6ffa7651c8c,4528989,sold
130552,Alice in Wonderland First Edition,Rare Books & Manuscripts,3e657da6-c29e-41ac-af33-032f874927fb,417646,sold
131404,Magellan's Navigation Tools,Other,95cf0677-73a6-4d22-ba15-7179306a2c93,1108507,sold
133715,Lincoln's Top Hat,Other,5d26b60f-9b1c-4230-aa05-28b0809b41fd,3557208,sold
148885,Cleopatra's Golden Sandal,Other,24b46c58-0bf6-41fe-ba50-b7585cfddd73,1500263,sold
151137,Wright Flyer Wood Fragment,Other,79b68721-3e4f-4cc9-a08d-c869a0c52cb3,344665,sold
154907,Basquiat Crown Painting,Fine Art,24b46c58-0bf6-41fe-ba50-b7585cfddd73,545710,sold
154982,Pelé's 1970 World Cup Jersey,Other,aeae5926-5073-4571-a8fc-befa5660b163,621571,sold
163073,Curie's Radiation Badge,Other,b359e6cb-168c-4b04-8a43-6cebcbf3f190,1003676,sold
165070,Jimi Hendrix's Woodstock Stratocaster,Musical Instruments,e5c65e13-3f89-4f82-bf39-a8560e52f115,5407320,sold
167367,Edgar Allan Poe's 'The Raven' Manuscript,Rare Books & Manuscripts,30ad95e1-c96e-4e5e-89a1-3f65b06b348e,1340185,sold
171067,Florence Nightingale's Medical Kit,Other,0d9585b1-64d5-460c-bade-92357c693e31,286538,sold
180812,Bonnie Parker's Pistol,Other,e8215a60-18b2-4cc7-8597-fd8f055c7704,402331,sold
184265,Ming Dynasty Dragon Throne Chair,Antique Furniture,06ffa6ee-2815-45fe-8c5a-d2956a399311,2259336,sold
189233,Julius Caesar Silver Denarius,Collectible Coins,XxMrMelonxX,201952,sold
192439,Wright Brothers' Plane Blueprint,Historical Artifacts,XxMrMelonxX,1226904,sold
206993,Elizabeth Taylor's Diamond Brooch,Jewelry,vanilla_coke,498635,sold
208242,Amelia Earhart's Flight Goggles,Other,Jim_Business,701315,sold
212931,Keith Haring Original Mural Sketch,Fine Art,lizardman,548770,sold
213897,Elton John's Platform Shoes,Designer Fashion,79a0f558-4c32-4140-81d1-1f5518b3df29,78444,sold
227930,Chief Joseph's Headdress,Other,fa4ea72e-eefe-461a-8011-018f6cdce2c1,1940050,sold
228268,Darth Vader's Helmet (Original),Other,6782c60e-32d6-45fd-ae16-0d1c29697e30,2554510,sold
241096,Newton's Apple Tree Branch,Other,d8d3d04d-73f1-409e-b33f-62c24c13f982,122738,sold
241618,Rembrandt Etching 'The Three Crosses',Fine Art,5b87ccdb-ce9f-4b52-97a7-24669d0c3c92,1488211,sold
253238,Château Margaux 1787 (Jefferson Bottle),Vintage Wine & Spirits,f2b6ed0c-689d-4bcb-b2ec-06e09fe24c94,654083,sold
273988,Genghis Khan's Sword,Other,5e4755d5-5233-4cb2-b6f2-873393fedaac,1606967,sold
289452,Tom Brady's Super Bowl Football,Other,0c2b6f43-9e1e-4535-98b9-762890ffcf03,715475,sold
294959,Sacagawea's Beaded Pouch,Other,added80d-b90d-4c55-934f-3933792aa860,439097,sold
302560,Audrey Hepburn's Givenchy Hat,Designer Fashion,lizardman,81800,sold
309190,Brasher Doubloon 1787,Collectible Coins,XxMrMelonxX,11128759,sold
313146,Queen Anne Walnut Bureau,Antique Furniture,vanilla_coke,249349,sold
318287,Copernicus' Star Chart,Other,Jim_Business,1373258,sold
335024,Blackbeard's Pistol,Other,lizardman,746635,sold
335038,Vivien Leigh's Gone with the Wind Dress,Haute Couture,a7625e72-fadf-4bf8-8554-9622acc3fbcb,982231,sold
335860,Buffalo Bill's Show Poster (Original),Other,7e350d5c-3a9f-41f9-ade3-a605388355b7,114104,sold
353033,Galileo's Telescope Lens,Other,37c65474-3a76-4d04-9b08-9e4c87de7f8f,2012709,sold
369328,Elizabeth Taylor's Cleopatra Gown,Haute Couture,fa481978-0a81-49b4-a99a-83a771c7d2f0,307433,sold
378209,Imperial Russian Sapphire Parure,Jewelry,5b80f103-4cca-442b-9f32-67056e27da75,1277056,sold
381280,Edward VIII Sovereign (Unissued),Collectible Coins,02bf0600-bf7b-4cae-9e5f-d5461ac3eab5,1092145,sold
384951,Napoleon's Campaign Bed,Antique Furniture,be054df8-784e-4588-aff3-b2f6c2428ec3,905054,sold
396273,Jesse James' Revolver,Other,XxMrMelonxX,872309,sold
398941,Van Gogh's Easel,Other,XxMrMelonxX,2372534,sold
400716,Sitting Bull's Peace Pipe,Other,vanilla_coke,1148750,sold
417459,Joan of Arc's Armor Piece,Other,Jim_Business,1340095,sold
450010,Kandinsky Abstract Composition,Fine Art,lizardman,1543464,sold
451095,Mark Twain's Handwritten Novel,Rare Books & Manuscripts,7e350d5c-3a9f-41f9-ade3-a605388355b7,1015289,sold
451168,Anne Frank's Diary Page,Historical Artifacts,5b87ccdb-ce9f-4b52-97a7-24669d0c3c92,1431124,sold
454129,Pol Roger 1874 Champagne,Vintage Wine & Spirits,193ff851-1e85-4b2c-b511-e794c8525564,100671,sold
457062,Marlene Dietrich's Tuxedo Suit,Haute Couture,155454bd-e323-4dad-97dc-2878048e500f,239865,sold
457352,Matisse Paper Cut-Out,Fine Art,f53c9565-0500-4a9c-97c1-bbe20b10f550,817418,sold
