quarter;fiscal_year;category;revenue;operating_expenses;total_transactions;updated_at
Q2;2023;ARCHIVAL_COLLECTION;2891.78;8428.41;23;2023-07-20 13:24:00
Q2;2023;CERAMIC;1963.08;3523.58;22;2023-07-27 15:18:00
Q2;2023;DESIGN_OBJECT;4399.09;6246.69;47;2023-07-23 11:44:00
Q2;2023;DRAWING;2127.17;3520.35;21;2023-07-22 16:12:00
Q2;2023;FURNITURE;4565.13;7584.88;48;2023-07-25 11:44:00
Q2;2023;PAINTING;5194.16;7304.61;43;2023-07-23 14:37:00
Q2;2023;PHOTOGRAPH;2063.53;2800.11;19;2023-07-18 16:31:00
Q2;2023;PRINT;3578.96;4935.24;37;2023-07-18 15:52:00
Q2;2023;TEXTILE;5217.10;7656.13;50;2023-07-26 15:37:00
Q3;2023;ARCHITECTURAL_ELEMENT;580.62;2178.03;8;2023-10-19 16:52:00
Q3;2023;ARCHIVAL_COLLECTION;14428.51;17182.83;138;2023-10-14 13:44:00
Q3;2023;CERAMIC;13550.27;11129.80;148;2023-10-18 14:31:00
Q3;2023;COLLECTION;4719.16;5858.64;46;2023-10-12 14:05:00
Q3;2023;DESIGN_OBJECT;12661.82;7723.39;122;2023-10-20 14:37:00
Q3;2023;DRAWING;7593.18;6762.17;98;2023-10-19 16:31:00
Q3;2023;ETHNOGRAPHIC_OBJECT;1467.19;1940.64;11;2023-10-15 14:18:00
Q3;2023;FASHION;5415.63;4523.62;58;2023-10-19 11:52:00
Q3;2023;FILM_PROP;3035.01;1802.02;23;2023-10-22 14:18:00
Q3;2023;FURNITURE;10898.15;9264.25;122;2023-10-19 15:52:00
Q3;2023;GLASS;1182.03;1364.60;13;2023-10-19 16:24:00
Q3;2023;HISTORIC_OBJECT;9434.99;7699.50;80;2023-10-16 15:05:00
Q3;2023;INDUSTRIAL_OBJECT;3530.87;3613.57;38;2023-10-17 13:37:00
Q3;2023;MANUSCRIPT;6062.81;7684.14;56;2023-10-16 10:44:00
Q3;2023;MAP;10125.13;4919.89;86;2023-10-14 15:52:00
Q3;2023;METALWORK;1562.06;1503.65;14;2023-10-16 15:44:00
Q3;2023;MUSICAL_INSTRUMENT;6405.32;4972.03;58;2023-10-21 17:05:00
Q3;2023;MUSIC_MEMORABILIA;4693.95;2616.20;43;2023-10-17 16:31:00
Q3;2023;PAINTING;37636.69;21874.48;318;2023-10-13 14:18:00
Q3;2023;PHOTOGRAPH;6473.53;4204.56;77;2023-10-15 09:52:00
Q3;2023;PRINT;17113.77;9681.41;179;2023-10-19 17:44:00
Q3;2023;RARE_BOOK;10521.18;7465.11;95;2023-10-13 15:05:00
Q3;2023;RELIGIOUS_OBJECT;2257.75;4206.00;27;2023-10-21 13:52:00
Q3;2023;SCIENTIFIC_INSTRUMENT;3157.82;3126.49;28;2023-10-16 15:52:00
Q3;2023;SCULPTURE;12289.96;11801.44;103;2023-10-17 17:52:00
Q3;2023;SPORTS_MEMORABILIA;6310.80;3914.47;55;2023-10-15 15:52:00
Q3;2023;TECHNOLOGY;3376.50;2675.94;31;2023-10-20 13:31:00
Q3;2023;TEXTILE;14677.12;9274.88;139;2023-10-13 09:37:00
Q3;2023;THEATRE_OBJECT;3838.18;4036.25;36;2023-10-15 16:52:00
Q4;2023;ARCHAEOLOGICAL_OBJECT;4042.12;4707.63;46;2024-01-16 10:05:00
Q4;2023;ARCHITECTURAL_ELEMENT;6785.07;8827.24;83;2024-01-23 14:44:00
Q4;2023;ARCHIVAL_COLLECTION;40172.09;27156.60;405;2024-01-19 09:05:00
Q4;2023;CERAMIC;27912.02;12842.41;326;2024-01-24 13:05:00
Q4;2023;COLLECTION;19951.48;12192.16;234;2024-01-18 17:37:00
Q4;2023;DESIGN_OBJECT;34274.99;14712.78;377;2024-01-22 17:24:00
Q4;2023;DRAWING;23917.07;12995.73;311;2024-01-26 13:18:00
Q4;2023;ETHNOGRAPHIC_OBJECT;13445.36;9487.45;110;2024-01-23 09:52:00
