quarter;fiscal_year;category;revenue;operating_expenses;total_transactions;updated_at
Q1;2024;DESIGN_OBJECT;97338.48;24259.94;813;2024-04-16 09:31:00
Q1;2024;FILM_PROP;89576.18;22978.25;817;2024-04-15 17:24:00
Q1;2024;FURNITURE;57412.04;22401.93;555;2024-04-16 14:31:00
Q1;2024;JEWELRY;46844.25;13503.67;352;2024-04-16 17:31:00
Q1;2024;PAINTING;258366.71;82734.85;1945;2024-04-12 09:31:00
Q1;2024;SPORTS_MEMORABILIA;125300.63;24499.94;1046;2024-04-15 12:18:00
Q2;2024;DESIGN_OBJECT;64057.57;27296.73;385;2024-07-29 10:31:00
Q2;2024;FILM_PROP;69544.31;26650.55;449;2024-07-24 12:37:00
Q2;2024;FURNITURE;56305.34;31064.47;365;2024-07-28 13:18:00
Q2;2024;JEWELRY;45513.32;29119.23;253;2024-07-27 17:18:00
Q2;2024;PAINTING;182144.12;162390.05;1023;2024-07-26 14:05:00
Q2;2024;SPORTS_MEMORABILIA;115326.79;32901.63;630;2024-07-25 09:18:00
Q3;2024;DESIGN_OBJECT;0.00;22275.12;1;2024-10-19 17:44:00
Q3;2024;FILM_PROP;29993.00;27471.49;2;2024-10-21 13:05:00
Q3;2024;FURNITURE;6280.00;27635.30;1;2024-10-21 11:31:00
Q3;2024;JEWELRY;8948.00;17795.05;1;2024-10-19 14:31:00
Q3;2024;PAINTING;0.00;71758.84;0;2024-10-23 15:24:00
Q3;2024;SPORTS_MEMORABILIA;0.00;26685.87;2;2024-10-18 11:44:00
Q4;2024;DESIGN_OBJECT;130841.50;78989.26;15;2025-01-14 14:37:00
Q4;2024;FILM_PROP;741263.50;187313.45;45;2025-01-15 16:44:00
Q4;2024;FURNITURE;44868.00;47321.25;7;2025-01-13 10:12:00
Q4;2024;JEWELRY;248887.00;76484.46;14;2025-01-15 15:44:00
Q4;2024;PAINTING;816958.50;300512.42;60;2025-01-15 16:31:00
Q4;2024;SPORTS_MEMORABILIA;752206.50;150035.57;32;2025-01-11 11:52:00
Q1;2025;DESIGN_OBJECT;219471.80;128825.95;27;2025-04-12 12:18:00
Q1;2025;FILM_PROP;951932.50;197368.51;46;2025-04-13 09:05:00
Q1;2025;FURNITURE;313972.00;125748.20;30;2025-04-12 15:52:00
Q1;2025;JEWELRY;489446.00;105564.98;25;2025-04-12 09:52:00
Q1;2025;PAINTING;1084054.00;407078.79;92;2025-04-13 13:31:00
Q1;2025;SPORTS_MEMORABILIA;1171735.50;251609.88;67;2025-04-08 10:37:00
Q2;2025;DESIGN_OBJECT;113693.75;43108.68;10;2025-04-30 15:52:00
Q2;2025;FILM_PROP;323456.50;68818.82;20;2025-04-30 12:37:00
Q2;2025;FURNITURE;90490.00;34260.88;6;2025-04-30 12:31:00
Q2;2025;JEWELRY;190215.00;38854.62;10;2025-04-30 17:12:00
Q2;2025;PAINTING;637272.00;171394.47;40;2025-04-30 15:18:00
Q2;2025;SPORTS_MEMORABILIA;316734.50;79757.15;24;2025-04-30 15:37:00
