t_id;vendor;buyer;prod_id;date_time;price;validated_by;status;phase;event;month;product_tx_no;completed_transfer_no;is_resale;is_relevant
24093001;georgia.lee;rothartadvisory;100671;2024-09-30 09:12:52;191500.0;23121126;REJECTED;4;24;2024-09;1;;FALSE;FALSE
24093002;isaac.rivera;rosemontmuseumofmoderncraftd;100587;2024-09-30 09:30:59;4520000.0;87658927;REJECTED;4;24;2024-09;1;;FALSE;FALSE
24093003;rosemontdesignheritagecenter;southbanktextilearchive;100416;2024-09-30 09:57:50;282000.0;87658927;COMPLETED;4;24;2024-09;1;1;FALSE;FALSE
24093004;theo.foster;rosemontdesignheritagecenter;100206;2024-09-30 10:32:46;289500.0;45562918;FAILED;4;24;2024-09;1;;FALSE;FALSE
24093005;windermeredesignheritage_org;nathan58;100494;2024-09-30 11:10:06;878500.0;45562918;COMPLETED;4;24;2024-09;1;1;FALSE;FALSE
24093006;tanglewoodculturalmemoryproj;quinn.cho;100128;2024-09-30 12:36:53;619500.0;;PENDING;4;24;2024-09;1;;FALSE;FALSE
24093007;juniperridgeartistslegacytru;malwex_hold3;100700;2024-09-30 13:30:57;837500.0;16498618;REJECTED;4;24;2024-09;1;;FALSE;FALSE
24093008;hearthstonefolkartarchive;GrantMercer;100166;2024-09-30 13:50:58;377500.0;87658927;COMPLETED;4;24;2024-09;1;1;FALSE;FALSE
24093009;lucia.knight;augvan_hold1;100497;2024-09-30 14:36:44;467500.0;72880343;COMPLETED;4;24;2024-09;1;1;FALSE;FALSE
24093010;granitehillbotanicalheritage;ari.turner;100666;2024-09-30 15:07:23;192500.0;23121126;COMPLETED;4;24;2024-09;1;1;FALSE;FALSE
24093011;oakhollowmuseumofappliedarts;ashlandmuseumofprintedarts;100617;2024-09-30 15:32:36;708500.0;35242525;COMPLETED;4;24;2024-09;1;1;FALSE;FALSE
24093012;harper.flores;celrot_hold2;100552;2024-09-30 16:18:16;70600.0;87292197;CANCELLED;4;24;2024-09;1;;FALSE;FALSE
24093013;leo.lane;stonefieldmaterialcultureins;100393;2024-09-30 16:44:36;1751000.0;77404927;CANCELLED;4;24;2024-09;1;;FALSE;FALSE
24093014;imani.reed;sofia.hayes;100055;2024-09-30 17:19:06;289000.0;35242525;COMPLETED;4;24;2024-09;1;1;FALSE;FALSE
24093015;aaron.olsen;nwhitmore_family2;100596;2024-09-30 20:29:50;2100000.0;35242525;REVERSED;4;24;2024-09;1;;FALSE;FALSE
24093016;harborlightpublicartconserva;nathan58;100440;2024-09-30 20:52:16;922000.0;72880343;COMPLETED;4;24;2024-09;1;1;FALSE;FALSE
24100301;jade.campbell;theo_kinc2;100599;2024-10-03 09:13:48;2940000.0;75941901;REVERSED;4;24;2024-10;1;;FALSE;FALSE
24100302;lucia.knight;crosscapital2;100090;2024-10-03 10:07:32;328500.0;16498618;COMPLETED;4;24;2024-10;1;1;FALSE;FALSE
24100303;heritagerowceramicsmuseum;DominicHale;100236;2024-10-03 11:18:19;468500.0;87292197;COMPLETED;4;24;2024-10;1;1;FALSE;FALSE
24100304;theo.foster;fairmontmaritimeheritagemuse;100229;2024-10-03 11:57:54;66000.0;77404927;COMPLETED;4;24;2024-10;1;1;FALSE;FALSE
24100305;southbanktextilearchive;vivienne.cross;100262;2024-10-03 12:30:41;257000.0;87658927;COMPLETED;4;24;2024-10;1;1;FALSE;FALSE
24100306;daniel.campbell;southbanktextilearchive;100227;2024-10-03 12:41:34;730000.0;96187039;COMPLETED;4;24;2024-10;1;1;FALSE;FALSE
24100307;cassidy.ito;crosscapital2;100302;2024-10-03 12:54:33;701000.0;45562918;COMPLETED;4;24;2024-10;1;1;FALSE;FALSE
24100308;abigail.martinez;elmsteadhistoricalsociety;100408;2024-10-03 13:29:29;144000.0;35242525;COMPLETED;4;24;2024-10;1;1;FALSE;FALSE
24100309;fairmontmaritimeheritagemuse;selene78;100306;2024-10-03 16:24:09;382000.0;35242525;FAILED;4;24;2024-10;1;;FALSE;FALSE
24100310;celine.irwin;isaac.shah;100598;2024-10-03 17:58:48;512500.0;35242525;COMPLETED;4;24;2024-10;1;1;FALSE;FALSE
24100311;reina.sullivan;valeheritagefund;100176;2024-10-03 18:50:01;238500.0;16498618;REVERSED;4;24;2024-10;1;;FALSE;FALSE
24100401;juniperridgeartistslegacytru;howellartadvisory;100474;2024-10-04 15:54:59;972500.0;35242525;FAILED;4;24;2024-10;1;;FALSE;FALSE
24100501;elmsteadculturalmemoryprojec;parkhurstceramicsmuseum;100099;2024-10-05 09:28:28;320500.0;75941901;COMPLETED;4;24;2024-10;1;1;FALSE;FALSE
24100502;priya.lane;helval_hold6;100405;2024-10-05 13:39:46;142500.0;87292197;COMPLETED;4;24;2024-10;1;1;FALSE;FALSE
24100601;quinn.cho;vanefamilyoffice;100407;2024-10-06 10:28:40;1508000.0;96187039;COMPLETED;4;24;2024-10;1;1;FALSE;FALSE
24100701;GrantMercer;fairmontmaritimeheritagemuse;100166;2024-10-07 11:03:57;398000.0;75941901;COMPLETED;4;24;2024-10;2;2;TRUE;FALSE
24100702;rosemontmuseumofmoderncraftd;obexley_family3;100472;2024-10-07 11:32:46;1090000.0;16660212;COMPLETED;4;24;2024-10;1;1;FALSE;FALSE
24100703;parkhurstpublicartconservanc;elea_rook7;100201;2024-10-07 20:31:22;353000.0;35242525;COMPLETED;4;24;2024-10;1;1;FALSE;FALSE
24100801;brookfieldhistorichousefound;croth_alt;100656;2024-10-08 10:07:29;39200.0;96187039;COMPLETED;4;24;2024-10;1;1;FALSE;FALSE
