t_id,vendor,buyer,prod_id,date_time,price,validated_by,status
24093001,georgia.lee,rothartadvisory,100671,45565.38394,191500,23121126,REJECTED
24093002,isaac.rivera,rosemontmuseumofmoderncraftd,100587,45565.39652,4520000,87658927,REJECTED
24093003,rosemontdesignheritagecenter,southbanktextilearchive,100416,45565.41516,282000,87658927,COMPLETED
24093004,theo.foster,rosemontdesignheritagecenter,100206,45565.43942,289500,45562918,FAILED
24093005,windermeredesignheritage_org,nathan58,100494,45565.46535,878500,45562918,COMPLETED
24093006,tanglewoodculturalmemoryproj,quinn.cho,100128,45565.52561,619500,,PENDING
24093007,juniperridgeartistslegacytru,malwex_hold3,100700,45565.56316,837500,16498618,REJECTED
24093008,hearthstonefolkartarchive,GrantMercer,100166,45565.57706,377500,87658927,COMPLETED
24093009,lucia.knight,augvan_hold1,100497,45565.60884,467500,72880343,COMPLETED
24093010,granitehillbotanicalheritage,ari.turner,100666,45565.63013,192500,23121126,COMPLETED
24093011,oakhollowmuseumofappliedarts,ashlandmuseumofprintedarts,100617,45565.64764,708500,35242525,COMPLETED
24093012,harper.flores,celrot_hold2,100552,45565.67935,70600,87292197,CANCELLED
24093013,leo.lane,stonefieldmaterialcultureins,100393,45565.69764,1751000,77404927,CANCELLED
24093014,imani.reed,sofia.hayes,100055,45565.7216,289000,35242525,COMPLETED
24093015,aaron.olsen,nwhitmore_family2,100596,45565.85405,2100000,35242525,REVERSED
24093016,harborlightpublicartconserva,nathan58,100440,45565.86963,922000,72880343,COMPLETED
24100301,jade.campbell,theo_kinc2,100599,45568.38458,2940000,75941901,REVERSED
24100302,lucia.knight,crosscapital2,100090,45568.4219,328500,16498618,COMPLETED
24100303,heritagerowceramicsmuseum,DominicHale,100236,45568.47105,468500,87292197,COMPLETED
24100304,theo.foster,fairmontmaritimeheritagemuse,100229,45568.49854,66000,77404927,COMPLETED
24100305,southbanktextilearchive,vivienne.cross,100262,45568.52131,257000,87658927,COMPLETED
24100306,daniel.campbell,southbanktextilearchive,100227,45568.52887,730000,96187039,COMPLETED
24100307,cassidy.ito,crosscapital2,100302,45568.53788,701000,45562918,COMPLETED
24100308,abigail.martinez,elmsteadhistoricalsociety,100408,45568.56214,144000,35242525,COMPLETED
24100309,fairmontmaritimeheritagemuse,selene78,100306,45568.68344,382000,35242525,FAILED
24100310,celine.irwin,isaac.shah,100598,45568.74917,512500,35242525,COMPLETED
24100311,reina.sullivan,valeheritagefund,100176,45568.78473,238500,16498618,REVERSED
24100401,juniperridgeartistslegacytru,howellartadvisory,100474,45569.66318,972500,35242525,FAILED
24100501,elmsteadculturalmemoryprojec,parkhurstceramicsmuseum,100099,45570.39477,320500,75941901,COMPLETED
24100502,priya.lane,helval_hold6,100405,45570.56928,142500,87292197,COMPLETED
24100601,quinn.cho,vanefamilyoffice,100407,45571.43657,1508000,96187039,COMPLETED
24100701,GrantMercer,fairmontmaritimeheritagemuse,100166,45572.46108,398000,75941901,COMPLETED
24100702,rosemontmuseumofmoderncraftd,obexley_family3,100472,45572.48109,1090000,16660212,COMPLETED
24100703,parkhurstpublicartconservanc,elea_rook7,100201,45572.85512,353000,35242525,COMPLETED
24100801,brookfieldhistorichousefound,croth_alt,100656,45573.42186,39200,96187039,COMPLETED
