e_id,d_id
10580306,3000
10580306,3100
10945904,2000
10945904,2100
10945904,2120
11194139,7000
11194139,7100
11194139,7200
11220767,3000
11220767,3200
11614912,2000
11614912,2200
12370563,4000
12370563,4200
12742361,3000
12742361,3100
14338498,2000
14338498,2100
16224175,2000
16224175,2200
16498618,5000
16498618,5100
16660212,3000
16660212,3200
21097316,6000
21097316,6200
22479789,7000
22479789,7100
22619675,2000
22619675,2100
22619675,2120
22619675,2200
23062301,1000
23062301,1100
23062301,3000
23062301,3100
23062302,2000
23062302,2100
23062302,2200
23070303,1000
23070303,1200
23070303,7000
23070303,7200
23121126,6000
23121126,6100
23121126,6110
23121126,6120
24090361,1000
24090361,1200
24090361,2000
24090361,2100
24090361,2200
24965541,6000
24965541,6100
24965541,6110
26887263,2000
26887263,2100
26887263,2120
26887263,2300
29956962,2000
29956962,2100
29956962,2120
31215320,5000
31215320,5100
31626649,2000
31626649,2100
31626649,2120
31739933,6000
31739933,6200
32845340,7000
32845340,7200
33087235,7000
33087235,7200
33098996,6000
33098996,6200
34845334,1000
34845334,1100
35242525,5000
35242525,5100
35242525,5200
36058655,6000
36058655,6100
36058655,6110
37812326,3000
37812326,3100
37959476,2000
37959476,2100
37959476,2120
37959476,6000
37959476,6100
37959476,6120
42026990,2000
42026990,2100
42026990,2110
42026990,2200
42365420,3000
42365420,3200
45562918,3000
45562918,3200
45672962,3000
45672962,3100
47132966,4000
47132966,4100
47132966,4110
48048698,3000
48048698,3100
48499646,6000
48499646,6100
48499646,6110
52013329,3000
52013329,3100
54817760,3000
54817760,3100
57490270,4000
57490270,4100
57490270,4110
58076477,2000
58076477,2100
58076477,2120
58693688,4000
58693688,4100
58693688,4120
59497116,5000
59497116,5100
59497116,5200
60601369,4000
60601369,4100
60601369,4110
60706330,4000
60706330,4100
60706330,4200
62391038,2000
62391038,2100
62391038,2110
63322433,2000
63322433,2100
63322433,2120
63336966,3000
63336966,3100
63336966,4000
63336966,4200
64166280,3000
64166280,3100
64166280,3200
66409136,2000
66409136,2100
66409136,2120
67723916,4000
67723916,4200
69733054,2000
69733054,2100
69733054,2120
69733054,2200
72738553,2000
72738553,2100
72738553,2120
72738553,2200
72880343,3000
72880343,3200
73920966,4000
73920966,4200
75941901,5000
75941901,5200
77404927,3000
77404927,3200
79784072,7000
79784072,7100
80798169,3000
80798169,3100
81820605,4000
81820605,4200
84271599,3000
84271599,3200
84921849,2000
84921849,2100
84921849,2120
84921849,2300
87292197,5000
87292197,5200
87292197,7000
87292197,7100
87453291,4000
87453291,4100
87453291,4110
87658927,3000
87658927,3200
87658927,6000
87658927,6100
87658927,6120
88376361,7000
88376361,7200
89960741,2000
89960741,2300
90286702,2000
90286702,2200
90543121,5000
90543121,5200
90903063,2000
90903063,2100
90903063,2120
90907400,1000
90907400,1100
92189967,1000
92189967,1200
95209691,7000
95209691,7100
96187039,6000
96187039,6100
96187039,6120
98283879,6000
98283879,6200
99260273,4000
99260273,4100
99260273,4120
