p_id,name,category,owned_by,est_value,status
100001,"Leonardo da Vinci, Mona Lisa",PAINTING,bobby,,DRAFT
100002,Apollo 11 Command Module Columbia,TRANSPORTATION,caesar,,DRAFT
100003,"Antonio Stradivari, Messiah Violin, 1716",MUSICAL_INSTRUMENT,caesar,,DRAFT
100004,The Imperial State Crown,JEWELRY,caesar,,DRAFT
100005,DeLorean Time Machine from Back to the Future,FILM_PROP,caesar,,DRAFT
100006,"Michelangelo, David",SCULPTURE,bobby,,DRAFT
100007,The Rosetta Stone,HISTORIC_OBJECT,bobby,,DRAFT
100008,"Vincent van Gogh, The Starry Night, 1889",PAINTING,bobby,,DRAFT
100100,Victorian Mourning Brooch — Group 4,JEWELRY,eastgatefolkartarchive,587000,SOLD
102927,Championship Boxing Gloves — Group 4,SPORTS_MEMORABILIA,quarrylanecraftpreservations,685000,SOLD
103899,"The Orlov Modular Chair Series, 1974",FURNITURE,northbridgemuseumofmoderncra,180000,INACTIVE
104811,"The Luma-3 Exhibition Lamp, 1979",DESIGN_OBJECT,northbridgemuseumofmoderncra,120000,INACTIVE
105006,"Nicolas de Staël, Composition, 1950",PAINTING,celine.irwin,861000,INACTIVE
105795,"Screen-Used Harbour Series I Prop, 1978",FILM_PROP,xavier.jacobs,746000,REJECTED
106483,"Elena Morrow Exhibition Lamp Prototype, 1980",DESIGN_OBJECT,reese.wilson,2299000,FULLY_SUBSCRIBED
108415,Vintage Racing Car Body — Group 2,TRANSPORTATION,kai.kaur,311000,SUBMITTED
111158,"Annotated Production Script, 1956",FILM_AND_MEDIA,nia.sims,71000,UNDER_OFFER
112353,Historic Concert Cello — Group 7,MUSICAL_INSTRUMENT,emilia.cho,1694000,SOLD
112376,"Annotated Production Script, 1962",FILM_AND_MEDIA,avane_alt,2766000,SOLD
112919,Three Cypress Trees — Group 2,PAINTING,zane.thomas,1535000,SOLD
114148,"Screen-Used Signal Field Prop, 1944",FILM_PROP,GrantMercer,1186000,SOLD
