p_id;name;category;owned_by;est_value;status;phase;event;listed_at;is_relevant
100001;Leonardo da Vinci, Mona Lisa;PAINTING;bobby;;DRAFT;1;2;2023-02-09;FALSE
100002;Apollo 11 Command Module Columbia;TRANSPORTATION;caesar;;DRAFT;1;2;2023-02-09;FALSE
100003;Antonio Stradivari, Messiah Violin, 1716;MUSICAL_INSTRUMENT;caesar;;DRAFT;1;2;2023-02-09;FALSE
100004;The Imperial State Crown;JEWELRY;caesar;;DRAFT;1;2;2023-02-09;FALSE
100005;DeLorean Time Machine from Back to the Future;FILM_PROP;caesar;;DRAFT;1;2;2023-02-09;FALSE
100006;Michelangelo, David;SCULPTURE;bobby;;DRAFT;1;2;2023-02-09;FALSE
100007;The Rosetta Stone;HISTORIC_OBJECT;bobby;;DRAFT;1;2;2023-02-09;FALSE
100008;Vincent van Gogh, The Starry Night, 1889;PAINTING;bobby;;DRAFT;1;2;2023-02-09;FALSE
100009;The Orlov Modular Chair Series, 1974;FURNITURE;aaliyah.baker;180000;SOLD;1;4;2023-04-11;FALSE
100010;Signal Loom, 1982;TEXTILE;ari.turner;145000;SOLD;1;4;2023-04-11;FALSE
100011;The Van Acker Ceramic Prototype Set, 1968;CERAMIC;celine.irwin;95000;SOLD;1;4;2023-04-11;FALSE
100012;The Luma-3 Exhibition Lamp, 1979;DESIGN_OBJECT;gran_merc4;120000;SOLD;1;4;2023-04-11;FALSE
100013;"Blue Factory Window, 1934; acquired 1978";PAINTING;harper7;180000;SOLD;1;4;2023-04-11;FALSE
100014;Salt Marsh at Dusk Study;DRAWING;rothcapital2;149000;SOLD;1;5;2023-05-20;FALSE
100015;Elias Cole Exhibition Lamp Prototype, 1889;DESIGN_OBJECT;granitehillmuseumoflocalindu;120000;INACTIVE;1;5;2023-05-30;FALSE
100016;Walnut Reading Chair;FURNITURE;meridianmillercollections;70000;SOLD;1;5;2023-05-08;FALSE
100017;The North Courtyard Print;PRINT;vanefamilyoffice;80000;SOLD;1;5;2023-05-17;FALSE
100018;Factory Window Print;PRINT;southbankmaritimeheritagemus;204000;SOLD;1;5;2023-05-06;FALSE
100019;Community Festival Banner;TEXTILE;howardfineobjects;160000;SOLD;1;5;2023-05-23;FALSE
100020;Theatre Lobby Bench;FURNITURE;cedarpointculturalmemoryproj;69000;INACTIVE;1;5;2023-05-11;FALSE
100021;Lucien Roth, Savannah at Night, 1915;PHOTOGRAPH;gmercer_family1;189000;SOLD;1;5;2023-05-28;FALSE
100022;Handwoven Wall Textile;TEXTILE;parkhurstcommunityartsfounda;99000;INACTIVE;1;5;2023-05-06;FALSE
100023;Local Newspaper Photograph Archive;ARCHIVAL_COLLECTION;santiago.jordan;243000;SOLD;1;5;2023-06-01;FALSE
100024;Family Correspondence Archive;ARCHIVAL_COLLECTION;longfellowestatecollection;238000;AVAILABLE;1;5;2023-05-20;FALSE
100025;Evening at the Quarry;PAINTING;vcross_alt;259000;SOLD;1;5;2023-05-19;FALSE
100026;Samuel Roth Studio Ceramic Vessel Set, 1933;CERAMIC;bobby;323000;SOLD;2;11;2023-08-18;FALSE
100027;Green Passage;PAINTING;stonefieldhistorichousefound;371000;INACTIVE;2;11;2023-07-20;FALSE
100028;Closed Theatre Records;ARCHIVAL_COLLECTION;ashlandestatecollection;125000;INACTIVE;2;11;2023-08-04;FALSE
